sequence,frame_prev,frame_curr,image_prev_path,image_curr_path,rotation_gt_x,rotation_gt_y,rotation_gt_z,rotation_pred_x,rotation_pred_y,rotation_pred_z,rotation_error_x,rotation_error_y,rotation_error_z,rotation_l2_error,rotation_squared_error,translation_gt_x,translation_gt_y,translation_gt_z,translation_pred_x,translation_pred_y,translation_pred_z,translation_error_x,translation_error_y,translation_error_z,translation_l2_error,translation_squared_error,translation_gate_0,translation_gate_1,translation_gate_2,translation_gate_entropy,translation_dominant_expert,translation_expert_0_x,translation_expert_0_y,translation_expert_0_z,translation_expert_1_x,translation_expert_1_y,translation_expert_1_z,translation_expert_2_x,translation_expert_2_y,translation_expert_2_z
10,1147,1148,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/001147.png,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/001148.png,0.0006021491135470569,-0.00040587669354863465,-1.4586200450139586e-05,0.011275489814579487,-0.0002374789910390973,0.07190345227718353,0.010673340409994125,0.00016839770250953734,0.07191804051399231,0.072705939412117,0.00528615340590477,-0.00038020149804651737,-0.0005596579285338521,0.06240805238485336,0.3063274025917053,-0.021280376240611076,0.7902661561965942,0.30670759081840515,-0.020720718428492546,0.7278581261634827,0.7901116013526917,0.624276340007782,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,860,861,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000860.png,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000861.png,0.004274218808859587,0.06617027521133423,-0.001577379065565765,-0.0006552752456627786,0.0038315393030643463,-0.000513254723045975,-0.004929494112730026,-0.06233873590826988,0.001064124284312129,0.0625423863530159,0.003911550622433424,0.11672749370336533,-0.005360362119972706,0.46538329124450684,-0.005160020664334297,-0.011292697861790657,0.5529115200042725,-0.12188751250505447,-0.005932335741817951,0.08752822875976562,0.15017639100551605,0.02255294844508171,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,861,862,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000861.png,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000862.png,0.004437403287738562,0.06531882286071777,0.004052063450217247,-0.0006852977676317096,0.005001896992325783,-0.0007954161847010255,-0.005122701171785593,-0.06031692773103714,-0.004847479518502951,0.06072784960269928,0.003687871852889657,0.012805340811610222,-0.007007484324276447,0.5384918451309204,-0.005891438573598862,-0.006814246065914631,0.48014163970947266,-0.018696779385209084,0.0001932382583618164,-0.058350205421447754,0.06127277761697769,0.0037543533835560083,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,868,869,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000868.png,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000869.png,0.009209693409502506,0.06521143019199371,-0.0005405202973634005,-0.0005480169202201068,0.006414834875613451,-0.0006167317624203861,-0.009757710620760918,-0.05879659578204155,-7.621146505698562e-05,0.0596008226275444,0.0035522582475095987,0.14375680685043335,-0.012232559733092785,0.49661046266555786,-0.00489853648468852,-0.0037324069999158382,0.34446394443511963,-0.14865534007549286,0.008500153198838234,-0.15214651823043823,0.2128831297159195,0.04531922563910484,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,858,859,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000858.png,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000859.png,0.0026337073650211096,0.06290315091609955,-0.0006938831065781415,-0.0005919008399359882,0.00536274304613471,-0.0007259901030920446,-0.0032256082631647587,-0.0575404092669487,-3.210699651390314e-05,0.0576307587325573,0.0033213042188435793,0.09477593749761581,-0.02004575915634632,0.4825150966644287,-0.0046896119602024555,-0.01338097546249628,0.6178043484687805,-0.09946554899215698,0.0066647836938500404,0.1352892518043518,0.16805057227611542,0.028240997344255447,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,13,14,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000013.png,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000014.png,-0.0038007814437150955,0.059427011758089066,0.0034409386571496725,-0.0009465878829360008,0.002076660981401801,-0.001152449520304799,0.0028541935607790947,-0.05735035240650177,-0.004593388177454472,0.05760476365685463,0.0033183086197823286,0.06010628491640091,-0.005702110473066568,0.2997932732105255,-0.011049923487007618,-0.018768906593322754,0.7919328808784485,-0.07115621119737625,-0.013066796585917473,0.492139607667923,0.4974287152290344,0.2474353313446045,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,14,15,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000014.png,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000015.png,-0.0028716507367789745,0.06091850623488426,0.004753062967211008,-0.0008386269328184426,0.0041727302595973015,-0.001072622137144208,0.002033023862168193,-0.056745775043964386,-0.00582568533718586,0.05708024650812149,0.0032581547275185585,0.06377194821834564,-0.008052951656281948,0.31133314967155457,-0.009425388649106026,-0.01635706052184105,0.8205639123916626,-0.07319733500480652,-0.008304108865559101,0.5092307329177856,0.5145315527915955,0.26474273204803467,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,865,866,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000865.png,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000866.png,-0.0002602348104119301,0.06518591940402985,-0.0014704889617860317,-0.00039078103145584464,0.008349195122718811,-0.00045866635628044605,-0.00013054622104391456,-0.056836724281311035,0.0010118226055055857,0.056845877319574356,0.0032314539421349764,0.12629340589046478,-0.010305414907634258,0.47682586312294006,-0.004274255596101284,-0.012317761778831482,0.7933785319328308,-0.13056765496730804,-0.0020123468711972237,0.31655266880989075,0.34242892265319824,0.11725755035877228,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,15,16,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000015.png,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000016.png,-0.0021503479219973087,0.059600066393613815,0.0038003097288310528,-0.0007626823498867452,0.003102474845945835,-0.001003617886453867,0.0013876655139029026,-0.056497592478990555,-0.00480392761528492,0.05671843886375427,0.003216981189325452,0.06287770718336105,-0.0062644039280712605,0.32672318816185,-0.007908760569989681,-0.01540773268789053,0.8308471441268921,-0.07078646868467331,-0.009143328294157982,0.5041239261627197,0.5091515183448792,0.2592352628707886,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,11,12,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000011.png,/media/sherifdeen/ext_hd250/projects/deepdct-vo/data/sequences/10/image_2/000012.png,-0.0031311565544456244,0.057614002376794815,0.00020267110085114837,-0.0008084214059635997,0.0009756886283867061,-0.0011037277290597558,0.0023227352648973465,-0.056638315320014954,-0.0013063987717032433,0.05670097470283508,0.0032150004990398884,0.05224686115980148,-0.006007510703057051,0.27387648820877075,-0.010492593050003052,-0.016850382089614868,0.8300982117652893,-0.06273945420980453,-0.01084287092089653,0.5562217235565186,0.5598539113998413,0.3134364187717438,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan
